【01-19 #vivo前置双摄X9#】就升级了个系统…… [X昨天系统升级了之后，我发现相册里的自命名的相册不见了……其他的都还在。型号是X9。。有没有大神帮我说说怎么办……],照片丢失
【01-14 #vivo前置双摄X9#】 [x9前置拍照不如后置，稍微远一点就模糊，扬声器有滋滋声，切换音乐就会出现一声很重的滋声，充电速度第一次充很快，大约没用一个半小时，再往后充电特别慢，基本从百分之二十开始充就需要一小时四十分钟，充电过程中没用手机],拍照模糊/不清晰
【01-13 #vivoX9晒单#】x9很不错！ [这一看快过年啦嘛 看我家父皇大人手机该换啦 就给他买啦个新年礼物！ 买来我自己先看啦一下 感觉拍照太棒啦 特别是自拍 比我6s好多啦 ！],拍照效果好
【01-13 #vivo前置双摄X9#】我的x9前面摄像头拍的不的清楚呢 [],拍照模糊/不清晰
【01-13 #vivo前置双摄X9#】有没有认x7相册照片一下子没有了的 [],照片丢失
vivo x9plus照相为什么这么模糊 [如题！谢谢大家],拍照模糊/不清晰
【01-13 #vivo前置双摄X9#】x9前置摄像头拍的照片远处景色不清晰呀 [不管标准双摄还是高清双摄都一样，远处特别虚，没有开虚化。大家都这样吗？有办法把远处也一样拍的清晰吗？],拍照模糊/不清晰
【01-13 #vivo前置双摄X9#】求助求助 [x7plus。照片弄完私密空间以后。再解密的时候相册就丢了！照片去哪了！急！],照片丢失
【01-29 #vivo照亮2017#】今年过年选择外出旅游！ [X9PLUS拍照效果还是不错的],拍照效果好
相同价位有比vivox9更好的选择吗？ [综合考虑屏幕拍照续航颜值做工 x9就是CPU差点 可是续航好啊 还能开王者荣耀高帧率 拍照屏幕做工都不错 同价位有更合适的吗 希望能不充电多玩几局王者荣耀],拍照效果好
【01-06 #vivo前置双摄X9#】求大神 [为什么我vivo手机私密空间解密后照片都不见了，相册里面没有，储存卡里面也没有],照片丢失
【01-05 #vivo前置双摄X9#】照片突然没了 [有没有谁和我一样啊\t突然照的照片都没有了\t贴吧微博保存的都还在\t想知道怎么找回\t好心塞qaq],照片丢失
x9 plus没有前置光学防抖吗？ [],相机功能少/弱
【01-02 #vivo前置双摄X9#】说说你X9 录像怎么样 [录像时感觉很模糊，屏幕很多花点。花花的，不清晰，特别是用慢镜头时更加模糊，很多花点，像是黑白电视每台的时候一样，不知道 大家的怎么样？],摄像模糊
【01-02 V粉问答】急急急，说说你的录像怎么样 [录像时感觉很模糊，屏幕很多花点。花花的，不清晰，特别是用慢镜头时更加模糊，很多花点，像是黑白电视每台的时候一样，不知道 大家的怎么样？还是 原本X9手机录像就是这样的？],摄像模糊
【01-31 #vivo照亮2017#】拍照模糊 [x9为什么总感觉拍的时候很模糊，在微信拍小视频也一样，在线等],拍照模糊/不清晰
【01-20 #vivo前置双摄X9#】说说我用x9的感受吧 [一个多月了 这个手机给我的感觉一句话 除了拍照稍微好点 其他的我只能呵呵 这款手机最差的我只能说是wifi 我用三星手机躺床上信号三格 用x9一格 差距还很大 努力吧],拍照效果好
vivo x9 重启后本地照片和音乐全部消失了？ [前几天刚买的一个新的灰色x9昨天晚上重启了一下结果本地的照片和下载的歌都没了？谁知道是什么情况？大师求赐。我在想是不是哪个设置没有关导致重启后照片歌都消失了？],照片丢失
"[01-18]讨论☆求手机推荐，我妈用 [5.5，2500左右，主要拍照好，夜景较好，特别是晚上的解析力，因为我妈经常演出拿来拍照，要有光学防抖，之前看x9,但是没有光学防抖 求推荐了，么么哒]",拍照效果好
vivo x9plus 后置拍照太垃圾 后悔入手 [前几天心血来潮想换个手机，之前用的是华为P8中配的那种当时价格是两千五左右入手的，用了快两年一直没什么问题，只是到后来喜欢上玩王者荣耀，感觉3g运行有点吃力，所以就想弄个6G运行的手机\t朋友一直推荐我弄个苹果6s plus，但是我一个屌丝就没用过苹果，用不惯苹果手机的系统，接着安卓吧，本来想相中了华为mate9 6G+64G的那个配置的，但是实体店又没实体机，店里导购就向我推荐了vivo x9 plus 当时是晚上，天又冷，我性格又属于比较急的那种，想着差不多赶紧交易就行了，最起码也是三千多的手机总会比我两年前两千多的强吧\t结果前天跟朋友聚会拍合影的时候让我尴尬了，稍微离远点就看不清人脸了，太模糊，分辨率太差了，效果还比不了我前年入手华为P8！\t码字的时候，用我的两个手机拍了两张照片来让大家看看对比一下！\t前两张是vivo x9 plus 下面两张是华为P8！图片放大了看更明显！\t如果经常用到后置相机的朋友们入手请慎重！],拍照模糊/不清晰
[01-18]求助☆以下是我自己的一些总结，求大神指导一下我到 [iPhone6s\t优：极致流畅的系统，摄像头\t劣：价格高，电池续航，低电量关机\t美版iPhone6s\t优：价格低\t劣：担心是翻新机，官换机，电池问题\tiPhoneSE\t优：便宜，iOS系统，摄像头\t劣：小屏幕不喜欢（输个密码可能会很困难）\tvivo x9\t优：手感好，机身薄，喜欢超级截屏，分屏等小功能，音质好\t劣：广告太泛滥，芯片配置低，后置摄像头不行，拍照不好看，有没有反人类的缺陷（充不进去电，接不到电话。曾经用过的一台oppo就这样）\t小米5s\t优： 芯片配置高，摄像头很不错\t劣：后面不好看，屏幕大黑边。担心用几个月后会卡，还有电池问题，有人说小米的电池很劣质\t华为p9\t优：系统流畅，拍照还不错\t劣：不喜欢双摄像头，下拉不显示开关\t锤子ML\t优：各种黑科技，外观好看\t劣：界面很丑，太小众不知道到底怎么样\t总之，性能>摄像头>外观>电池>音质],拍照效果好
【01-17 #vivo前置双摄X9#】最近想入手x9和OPPOR9s [听说R9s不能抓拍，想问一下vivoX9能不能抓拍，另外去电信实体店购买的话，会送哪些东西。天猫的旗舰店看了下送魔镜之类挺多的],相机功能少/弱
步步高x9plus为什么照了相感觉不清楚? 步步高x9plus照相觉清楚?,拍照模糊/不清晰
[01-01]讨论☆终于说服朋友买了mate9 [朋友要买手机，又不懂手机，就想要个拍照好，充电快，能玩游戏的手机，点名要买r9s，苦口婆心劝了半天，把r9s贬成一坨屎，6系cpu，不支持ddr4和ufs2.0，没有type-c接口，中端配置，高端价格……终于说服他放弃r9s，看他舍得花钱，就推荐买mate9，为了说服他，对mate9各种吹，应用开启速度拳打iphone7脚踢s7，游戏秒杀骁龙821，充电秒杀oppo闪充，拍照莱卡加持顶呱呱国内无敌手，终于成功说服，抢购下单成功],拍照效果好
[01-04]讨论☆oppor9s完爆苹果7六大理由 [1：cpu完爆苹果7，r9scpu是美国进口高通八核处理器，反倒苹果7用的是四核处理器，傻子都知道八缸的汽车要比四缸的汽车值钱。2：拍照效果完爆苹果7，oppor9是前后1600万摄像头，苹果7呢只有1200万后置摄像头和500万前置摄像头，拍照效果完爆苹果7一点问题没有。3：运行速度完爆苹果7，oppor9s内存64GB运行内存4GB，苹果7只有32GB内存运行内存晓得可怜才2GB，所以说oppor9s内存完爆苹果7一点问题没有。4：颜值做工完爆苹果7，众所周知oppo有自己的工厂号称国际大厂，反倒苹果7没有自己的工厂只能和屌丝机小米一样找富士康去代工，外壳抄袭oppor9s。5：价钱苹果是最没有良心的企业一台不如oppo的国际小厂居然把价钱卖到了5399这样的高端价位，而且降价太快，反而oppor9s中国民族企业把价钱定格在2799这样的合理价位。最后希望是中国人就买oppo不要买美帝国注意的垃圾苹果。第六:oppo核心专利已经达到30000件，反观垃圾苹果只有3000多核心专利专利完爆垃圾苹果，用料做工摄像头创新完爆苹果任何一款产品！],拍照效果好
[01-07]讨论☆oppo r9s和vivo x9那个比较好 [是不是oppo拍照好点，vivo音质和屏幕好点，好像一个AMOLED一个super AMOLED],拍照效果好
"[01-11]讨论☆买mate9还是买oppor9Splus [预算一样3500，买mate9就是灰色低配，优点处理器顶级，拍照可以装(实际一般)，屏幕色彩还原度高。\t不太接受，指纹后置，内存4G,虚拟键降低屏幕使用，看网页有点点拖影，只能实体店预定，周六可以拿到。\tOPPOR9SPLUS，优点黑边做工顶级，前置指纹加双隐藏菜单，拍照在线，前置牛逼，屏幕大尺寸充分利用，可惜楼主长得丑。\t不太能接受，处理器高通653，28纳米(真尼玛扯，不过是高通)，凑合够用;屏幕是A屏，有点太鲜艳，也不知道能不能调色温(不过OPPO的不发黄);还有就是没有MATE9装逼。。]",拍照效果好
[01-19]讨论☆oppor9sp拍照真的厉害 [本人无聊跑去oppo店问店员拿手机看看！体验一下oppo的拍照！！我用我的索尼做对比],拍照效果好
[01-22]讨论☆虽然天天黑蓝绿大厂，但是看了机器发现还有点优点 [昨天闲着没事转大街 oppo r9s拍照着实惊艳到了。。。然而配置哦哦哦。。。vivo xplay6的曲面堪比三星 吊打小米华为曲面。。。],拍照效果好
[01-26]讨论☆关于华为p9和oppo r9s拍照体验对比 [本人手机坏了，需要一个新手机，于是去逛了大量的体验店。\t本人不玩游戏，安装app也是百度地图，qq，微信等十个左右的程序，但是需要拍大量的照片，当然，工作照只要能反映重要信息就好，对照片色彩要求不高，但遇到好看的风景也想拍张好看点的照片。\t首先说说本人原来的手机，华为p7，当时觉得好看，2400买的，买回家就后悔了，做工好廉价好廉价，后置摄像头有问题，在光线稍微不足的情况下近距离对焦困难，完全给我工作带来不便，不过还能将就用。特点是抗摔，摔了好多次，居然没坏，屏幕也没事，直到差不多两年半的时候，边框居然掉下来了，没有边框的保护屏幕掉木地板上碎了，但居然还能用。。。不过我也该换了。系统流畅程度，开始两个月还好，后面就卡了，不过我也不干啥，卡就卡，打电话能用就好，但后来随着qq这个流氓软件越来越大，手机越来越卡，删除qq后居然流畅了不少。。不过我还是想说，p7真的垃圾，1800应该是真实价格。\t基于生活工作对手机的使用，本人认为手机最大的功能是1、通讯，2、拍照\t基于预算，本人想买个2000或小2000的价位的手机。\t基于本人日常与工作需要，本人对手机的基本要求是：信号好，流畅，拍照好，拍照块。\t基于进一步需要，本人也想要个拍风景照好看的手机。\t于是本人逛了当地大量实体店，锁定几个手机：oppo r9s，vivo x9，华为p9（居然还能锁定华为，我都不甘心）\t这三款都是主打拍照的手机，oppo r9s和vivo x9标价都是2799，不过移动老客户可以2199买到，我是移动老客户满足要求；华为p9标配标价2899（尼玛都差不多一年了还这么贵），但本有有熟人可以2500以下买到。\t首先是r9s和x9比较，其实没啥区别，r9s比较好看，于是排除x9。\t然后是p9和r9s的比较。对焦速度是r9s快，瞬间完成，p9要对一下下，虽然不是什么大问题，不过我还是享受瞬间对焦的感觉。其次是拍摄质量，本人发挥吃苦耐劳精神，连续两天分白天黑夜去实体店体验p9和r9s的拍摄效果，白天拍摄光线充足的外景，两个都一样，拍摄光线不那么充足的内景，p9好点；晚上拍摄光线充足的店内，r9s泛白，p9还原好，拍摄光线不充足的外景，r9s还是差点，色彩单调点，并且拍摄行走中的人会有闪电侠的影子，放大后识别率有点低，p9色彩饱满点，放大后识别率蛮高的。总体来说，虽然p9是16年4月发布，r9s时16年11月发布，差了大半年，但是r9s的拍摄还是跟不上p9。\t另外，r9s的屏幕看起来不舒服，p9到手价格虽然比r9s贵了两百多点，我还是选p9。\t题外话：恨死p7了，到头来居然还能选上p9，我也是服了我自己了，不得不说p9进步很大。不过r9s虽然比不上p9，但是拍照也很出彩，2199的价格应该也可以，买不到p9我就会买他的。],拍照效果好
[01-29]求助☆求助大神！ [我老婆准备换手机，要求自拍效果好，要求自拍效果好的，由于她不玩游戏（有都是贪吃蛇之类的），其他要求一般，外形要好看。有大神推荐下品牌吗？\t顺带问下OPPOR9S 红版的2799怎么样（初步看中了这个）],拍照效果好
[01-29]讨论☆我来给几款手机正一下名，在贴吧大手子喷的最惨的地带 [先来 r9s 这机子2400确确实实不亏，而且处理器颜值啥的也跟得上，尤其是拍照秒很多同价位的小米华为荣耀],拍照效果好
[01-31]讨论☆大家给点意见！ [老婆原来的手机用的金立s5.1（用了半年后直接卡出翔，运行内存1G不到），现在准备给她买个，她不玩游戏，就爱拍照什么的（拍照像素要求要好）。\t贴吧，网站逛了半天觉得OPPSR9S还行（主要看中红色，拍照，闪充），大家给点意见。\t我看了贴吧很多，什么厂妹、屌丝的很多负面评价，我也知道高价低配置，求教下大神推荐下拍照效果好、手机颜值还行，运行不卡的\t最后祝各位吧友新年快乐？],拍照效果好
【 搞机评测◎0115】拍照强机体验就是与众不同？OPPO R9s有话说 [当一件物品做到了极致，带给人们的体验便会与众不同。主张让拍照“这一刻，更清晰”的OPPO R9s红色版便是这么一款趋于极致的拍照强机。那么它带给我们的拍照体验如何呢？我们还得从这款手机的方方面面谈起。],拍照效果好
【 搞机评测◎0120】不仅拍照很给力，OPPO R9s的续航也表现不俗 [转眼间已经到了年底，回头来看的话我们发现在今年的国产智能手机市场中涌现了一大批经典的国产手机产品。近日国内著名IT网站举办了一次2500元价位的手机横评，其中共有12款今年推出的新品手机。众所周知在10月下旬发布的OPPO R9s由于内部搭载了由OPPO与SONY联合开发的IMX 398堆栈式传感器，因此该机拥有极为出色的拍照能力。然而令人没有想到的是在这次的12款手机横评中，OPPO R9s的续航也表现出了极为优秀的水准。],拍照效果好
【 小O资讯◎0104】手机也能进入时尚圈，OPPOR9s红色版美图赏析 [对于年轻时尚用户来说，如今在选手机的时候首选品牌就是OPPO。自从OPPO创立以来就一直将年轻用户作为主要目标用户，根据赛诺市场研究的最新报告显示，如今在一线城市中，OPPO在年轻用户中的占比最高，特别是其高颜值外观设计以及出色的拍照体验更是受到了大量消费者的喜爱。在新年即将来临之际，OPPO为了满足年轻用户对于时尚的追求，于是推出了OPPO R9s红色版。],拍照效果好
【 小O资讯◎0108】r9s基友们 [有没有感觉照相也不是那么清晰啊，拍路边车都是模糊的，还有录像也不清楚],拍照模糊/不清晰
【 小O资讯◎0108】r9s基友们 [有没有感觉照相也不是那么清晰啊，拍路边车都是模糊的，还有录像也不清楚],摄像模糊
【 小O资讯◎0108】你们的r9s拍照模糊吗？ [],拍照模糊/不清晰
【 小O资讯◎0108】我的r9s拍照不清楚 [如图，近景非常好。远景就比较模糊，不知道为什么，检测说我的手机没毛病啊！求大神],拍照模糊/不清晰
【 小O资讯◎0110】 [R9s 夜间成像手动模式 图片被压缩了 原图整体感觉一般 对炫光控制不理想 夜间对焦对不上 尤其是手动模式点击屏幕对焦 根本不行 必须手动调节 焦距],夜拍拍摄效果差
【 小O资讯◎0110】oppoR9s近距离拍照很模糊，你们也是一样的吗 [近距离拍照，对焦后更模糊，你们也是一样的吗。R9s],拍照模糊/不清晰
【 小O资讯◎0110】为什么R9s拍照没夜景模式 [],相机功能少/弱
【 小O资讯◎0111】oppor9s 照片无故丢失 [下午看相册照片还好好的，等晚上在看。里面竟然一张照片也没了。绝对没有误删除，咋办。这是啥情况，有谁也有这种情况],照片丢失
【 小O资讯◎0112】 [r9s 夜拍 手动模式+后期 炫光还是严重 这是调教问题 哎],夜拍拍摄效果差
【 小O资讯◎0112】OPPO R9s红色版遭抢购，卖得火理由是？ [OPPO R9s红色版已于1月11日正式开卖，全网统一标价2799元，作为OPPO的又一款明星产品，以其时尚的设计、出众的性能以及强大的自拍能力赢得了广大年轻人的芳心。],拍照效果好
【 小O资讯◎0112】OPPO R9s红色版遭抢购，卖得火理由是？ [ OPPO R9s红色版已于1月11日正式开卖，全网统一标价2799元，作为OPPO的又一款明星产品，以其时尚的设计、出众的性能以及强大的自拍能力赢得了广大年轻人的芳心。],拍照效果好
【 小O资讯◎0112】oppor9s拍视频怎么总看着不是那么清新，怎么回事 [],摄像模糊
【 小O资讯◎0112】OPPOR9s新年版兴起红色潮流 [在2016年底，OPPO推出了R9s新年特别版，配色为大红，非常时尚。首先是\t杨幂\t定制红色版的热度很高，因为限量所以短时间售罄，而后这款红色版的OPPO R9s得到了时尚女王苏芒的认可，联合OPPO设计礼盒送给\t明星\t朋友，很多明星都觉得非常时尚，外加上拍照效果好，都喜欢用来拍照，一时间这款手机在微博上刷屏了，同时也受到了很多消费者的关注。],拍照效果好
【 小O资讯◎0112】R9s你们更新系统了吗 [为啥相机没有夜景模式],相机功能少/弱
【 小O资讯◎0113】OPPO R9s红色版遭抢购，卖得火理由是？ [OPPO R9s红色版已于1月11日正式开卖，全网统一标价2799元，作为OPPO的又一款明星产品，以其时尚的设计、出众的性能以及强大的自拍能力赢得了广大年轻人的芳心。],拍照效果好
【 小O资讯◎0114】r9s才入手两天，发现个问题。 [不管前后摄像拍照都很高清，但成相后就很模糊，美颜相机相对明显一些，特别人像模糊。],拍照模糊/不清晰
【 小O资讯◎0116】关于R9s的相机 [元旦买的R9s，前置摄像头总感觉特别模糊，我女票也是9s，他的摄像头就很清晰，是我自己机子的问题还是怎么了，求大神解决],拍照模糊/不清晰
【 小O资讯◎0117】oppor9s的拍照问题。 [为什么r9s不能抓拍，这点很不好。就是按了快门他不立即拍，而是反应一会才拍，所以按了快门后假如你手抖了，那照片就模糊了。你们的手机是这样的吗？？],相机功能少/弱
【 小O资讯◎0117】刚买的黑色R9sPlus随手拍了几张照片 [个人感觉效果相当好，对于我这个摄影控，之前一直用的iphone从4到6sp，但发觉oppo的摄像头真是非常好，比iphone强太多，下面给大伙看看随手拍出的效果，前3张进行了大小剪裁，后两张为原图],拍照效果好
【 小O资讯◎0120】R9s前置不清！！！ [模糊！！后置很清 前置模糊 有那种沙沙的感觉！！],拍照模糊/不清晰
宝贝挺好的。帮同事买的 京东速度就是快。大 拍照棒棒哒?,拍照效果好
宝贝照相超棒，值得购买,拍照效果好
本来看见那个你是我的小幂phone超好看，就想买个红色手机，结果终于让我等到了，表妹他们看到盒子，就觉得好高大上，再用手机自拍，感叹自拍的效果超好，这个颜色也是超稀饭。手机还没摸索好功能，会支持支持的。,拍照效果好
本来想买苹果7的 结果朋友给推荐了这款 到手后真的没后悔 手机会很漂亮 指纹解锁很快 最重要的是拍照很漂亮 随手一拍都很赞,拍照效果好
本来想买苹果的，后来发现其实oppo也不错，从来没用过，用下试试，用的好了以后继续用，看把我家小黑拍的多美?,拍照效果好
本命年，好喜欢红色的，运行流畅，拍照也是棒棒哒。红红红鸿运当头,拍照效果好
本命年很好看，拍照效果超好(?? . ??),拍照效果好
本命年送给自己的新年礼物，新年红真的很搭，手机高大上，用着满意，拍照效果好，很喜欢，图片传不上去，遗憾,拍照效果好
本命年用红色，红色真的很好看，里面有专门的新年特别主题，感觉很高大尚，照相功能强大，夜景很清楚，不错。赠品有音箱，手包，自拍杆，真的不用再买配件了,相机功能多/强
手机不错 比7更圆滑一些 ，反应也够快 ！ 6G运行能存实际能达到4.6G 其它的系统占用了！ 拍照非常的好！试拍了夜景 不错,拍照效果好
比较客观的评论下，流畅度就不说了，挺好，拍照确实比苹果手机效果好，但是不知道是误操作原因还是手机的原因，有几次软件闪退的情况！物流速度杠杠的，快递小哥不错???,拍照效果好
手机很好！比较轻巧，超薄，耳机我喜欢，跟苹果不一样就是中间的按键是触摸的呢，不再是按下去那种了！拍照超好，。还有毛豆真棒，服务很好，也很热情！送了很多礼品哟！,拍照效果好
手机很好！比较轻巧，超薄，耳机我喜欢，跟苹果不一样就是中间的按键是触摸的呢，不再是按下去那种了！拍照超好，。还有毛豆真棒，服务很好，也很热情！送了很多礼品哟！ 很好,拍照效果好
比酷派手机不晓得好用好多，6个g运行内存用起来舒服 不卡顿 照相功能很好，充电速度也很快,相机功能多/强
比苹果薄，拍摄样张在最后，拍照效果不错。真的一改以往对国产手机的观念。充电快，终于不担心出门没有电了，可以放心通话，玩手机。同时缺点呢，通话不稳定，更新了最新版，说可以解决这个问题，正在观察。玩游戏确实卡，不过其他各种常规应用，看电影电视都很爽，足够了。真心被苹果伤透了，所以换国产机了，再接再厉，等着你们的find9。,拍照效果好
用了一段时间才评价的，手机很好用，比其他安卓好上手，照相也是杠杠的，麻麻表示很喜欢这款手机，颜色她也老喜欢了?,拍照效果好
手机很漂亮…比想象的要薄，用着很舒服照相一流。,拍照效果好
比预想的好多了！美颜相机效果好，自拍很清晰！给老公买的，我的是苹果6S，自拍就没那样的效果,美颜效果好
别人评高价低配，其实对于我这种不玩游戏的人来说差别不大，总体感觉：外观漂亮，音质好，拍照还可以，反正对得起我,拍照效果好
不错 不错 不错 高清 美颜很棒 两分钟 通话两小时 很好啦.时尚美观,美颜效果好
不错！不错！不管论长相，还是论手感都挺好！这个照相不赖！这个充电孔做成苹果那样的话就更好啦！,拍照效果好
不错！画面清晰 使用流畅！给妈妈买的 相片效果很好！真的辛苦快递小哥了！春节也不能休息 点赞！！,拍照效果好
不错！！！！给妈妈买的，拍照不错，界面也就那样，专给自拍人士,拍照效果好
不错，京东物流很快，手机用着还可以。以前在京东买过手机，这次这个手机拍照很不错。希望耐用。,拍照效果好
不错，就是感觉拍照没想象的清楚，不如买的另一部黑色拍照清楚,拍照模糊/不清晰
不错哦！款式，拍照，配置都非常满意！不错的选择！发货也超快的，服务态度也非常好！,拍照效果好
不错，买给朋友的，不错，朋友很喜欢，手机拍照很漂亮，,拍照效果好
不错 拍照好看,拍照效果好
不错，拍照很强大,拍照效果好
不错，很好用，拍照的油光很好,拍照效果好
不错，拍照效果超级好,拍照效果好
手机收到了，不错，拍照效果没得说，电池很耐用！,拍照效果好
不错，特别是拍照,拍照效果好
用了几天才来评价的，不错，喜欢手机的拍照，要是再送手机套就更好啦,拍照效果好
不错。是正品，下单的时候还担心不是正品或者有问题呢！宝贝到了以后就放心了，都挺好的，手机反应很快，拍照很不错，女朋友很喜欢！！！！还附带了一个手机套！！！！送的赠品也很好,拍照效果好
不错，样子好看，玩游戏，王者荣耀也不卡，挺好的。电量也耐用。拍照牛。,拍照效果好
不错，很漂亮，照相很给力。,拍照效果好
不错，照相效果好，运行速度也快,拍照效果好
